rfid,sex,cohort,coatcolor,dd_housing_box,dd_order_in_box,dd_squad_num,dd_box_color,dd_operant_box,dd_indiff_0,dd_indiff_2,dd_indiff_4,dd_indiff_8,dd_indiff_16,dd_indiff_24
933000320046061,M,C01,BROWNHOOD,7,1,1,blue,13,225.950291666666,181.056380555555,128.447583333333,107.829713333333,70.5753966666666,47.6475783333333
933000320046062,F,C01,ALBINO,6,1,1,blue,11,146.419704166667,123.199754166667,106.773823,67.061384,37.1737545833333,NA
933000320046063,F,C01,BROWNHOOD,20,2,3,blue,8,111.115441666667,74.0568833333333,86.1716136666666,93.8294788888888,35.5692891666666,41.6598830555555
933000320046064,F,C01,BLACK,31,2,4,blue,14,126.25509,115.454249444444,74.3234158333333,56.3653494444444,25.505805,36.3016261111111
933000320046065,F,C01,ALBINO,37,1,5,blue,9,122.956110333333,77.6461876666666,69.9790866666666,69.0822123333333,40.8375976666666,34.02355125
933000320046067,M,C01,BROWN,1,2,1,blue,2,119.874372222222,78.0910108333333,87.0221083333333,57.4319813888889,40.090102,32.9546605555555
933000320046068,F,C01,BROWNHOOD,6,2,1,blue,12,147.824646666667,80.62834,87.7619744444444,94.5338073333333,36.3490096666666,17.5113358333333
933000320046069,M,C01,ALBINO,7,2,1,blue,14,145.692386666667,82.4666613333333,89.2078254166666,78.6747722222222,NA,20.83471
933000320046070,M,C01,BLACKHOOD,16,1,2,blue,15,115.488381666667,156.3732625,133.675836666667,79.3534011111111,51.414571,23.6374874666666
933000320046071,M,C01,BLACKHOOD,41,1,6,blue,1,173.405743333333,103.313719166667,79.2742946666666,41.1694833333333,31.414695,30.6587666666666
933000320046072,M,C01,BROWN,41,2,6,blue,2,168.492711111111,145.513694444444,115.703213888889,80.6408886111111,47.8282783333333,29.9287386666666
933000320046073,F,C01,ALBINO,23,1,3,blue,13,260.258194444444,218.280580555555,218.39402,147.510429444444,98.8167988888888,45.9670683333333
933000320046074,M,C01,BROWNHOOD,35,2,5,blue,6,215.891325,158.795144444444,120.466666666667,63.8669091666666,35.8724636111111,28.6971677777778
933000320046075,F,C01,ALBINO,33,2,5,blue,2,255.47968333333301,209.605976666666,181.427819444444,81.7597227777777,66.2310675,52.7709252777778
933000320046179,M,C01,BLACK,9,1,2,blue,1,211.770361111111,177.005688888889,169.544786666667,75.3205786666666,28.4251138888889,20.9536708333333
933000320046181,F,C01,BLACKHOOD,40,1,5,blue,15,85.8917294444444,108.353241388889,63.0663077777778,62.0855083333333,36.0325838888889,29.8355777777778
933000320046182,F,C01,BLACKHOOD,38,1,5,blue,11,132.718126666667,118.28622,77.841946,63.6972519444444,38.2933416666666,28.20727
933000320046184,F,C01,BROWN,40,2,5,blue,16,171.46623,169.3159,143.852258333333,86.4423624999999,49.5890994444444,39.9582913888889
933000320046188,M,C01,BLACKHOOD,5,1,1,blue,9,122.610973333333,82.1680545833333,60.3575645833333,34.6209153333333,24.3667926666667,17.8266573333333
