rfid,Sex,Squad #,ChamberColor,ChamberNumber,DelayLever,Shipment,3-cleaning-criteria (jeab paper),ObjectiveAUC-normD,Hyperbolic-k-FittedBias,Hyperbolic-k-ln,Exponential-k-FittedBias,Exponential-k-ln
25201,M,4,Green,4,L,R,0,0.44195595,0.086591963,-2.446548275,0.053966539,-2.919391074
25202,F,8,Red,8,L,R,1,0.533153539,0.165908874,-1.796316594,0.09060066,-2.40129378
25204,F,5,Red,8,R,R,0,0.443482733,0.173101091,-1.753879517,0.092763875,-2.377697988
25205,M,1,Blue,8,R,R,0,0.903425755,0.097987696,-2.322913355,0.061459831,-2.789371469
25206,M,7,Blue,7,L,R,0,0.634468799,0.077514885,-2.557285303,0.052862736,-2.940056611
25207,F,8,Blue,7,R,R,0,0.63820365,0.115776248,-2.156095848,0.075462178,-2.584123704
25208,M,2,Blue,8,L,R,0,0.403926578,0.107262012,-2.232480724,0.071299044,-2.640872356
25212,M,14,Blue,8,L,R,1,0.403281804,0.028304798,-3.564723945,0.025881759,-3.654216842
25214,M,9,Blue,7,L,R,0,0.438599804,0.051319052,-2.969693207,0.038946093,-3.24557681
25216,F,7,Red,8,R,R,0,0.544730537,0.052470339,-2.947507247,0.040226168,-3.213237549
25221,F,11,Blue,7,L,R,0,0.563222395,0.123826204,-2.088876279,0.073949116,-2.604378043
25224,M,12,Blue,7,R,R,0,0.561257591,0.161877501,-1.820915394,0.093951581,-2.36497573
25251,F,10,Blue,7,R,R,0,0.514933418,0.165677018,-1.79771506,0.097014579,-2.332894011
25253,F,9,Blue,5,L,R,0,0.572065381,0.093602308,-2.368700236,0.052319379,-2.950388449
25254,M,1,Green,1,L,R,1,0.600913629,0.171931478,-1.760659266,0.103515483,-2.268034084
25255,F,6,Blue,5,R,R,0,0.566601642,0.028474987,-3.558729241,0.024555522,-3.706818534
25256,M,2,Green,1,R,R,0,0.51657745,0.257297788,-1.357521155,0.156530926,-1.854501676
25259,M,3,Green,7,R,R,0,0.582269986,0.214691805,-1.538551746,0.115272272,-2.160458367
25260,F,10,Blue,6,L,R,0,0.473950396,0.088169876,-2.428489915,0.055599383,-2.889583181
25262,F,2,Green,5,R,R,0,0.518949629,0.141647501,-1.954413693,0.086972251,-2.442166167
25263,M,7,Green,4,R,R,0,0.436679158,0.104594672,-2.257662663,0.067052778,-2.702275234
25266,F,7,Green,3,L,R,0,0.507672675,0.177323415,-1.72978001,0.094775545,-2.356243865
25269,F,10,Blue,5,R,R,1,0.539608067,0.103496346,-2.268218976,0.057474018,-2.856422296
25270,M,7,Green,7,R,R,0,0.592563829,0.13254338,-2.020845292,0.071903114,-2.632435702
25272,M,8,Green,3,R,R,1,0.409319895,0.222672939,-1.502051227,0.124853039,-2.08061792
25276,F,3,Green,3,L,R,0,0.539514511,0.033796008,-3.387412598,0.027456358,-3.595157522
25277,M,5,Green,3,L,R,0,0.422279436,0.04484129,-3.104625906,0.033537926,-3.395078353
25278,F,4,Green,3,R,R,0,0.548480613,0.140732643,-1.960893335,0.084760911,-2.467920795
25279,M,8,Green,4,L,R,1,0.402446293,0.080019382,-2.525486399,0.051797513,-2.960413142
25280,M,2,Red,7,R,R,0,0.588451986,0.100407684,-2.298516543,0.064127303,-2.746885064
25281,M,16,Blue,5,R,R,0,0.522104131,0.070238101,-2.655864363,0.046640982,-3.06527568
25283,M,15,Blue,5,L,R,0,0.871509015,0.062736825,-2.76880669,0.045291793,-3.094629438
25284,M,6,Green,6,L,R,0,0.693380169,0.051111215,-2.973751332,0.037575538,-3.281402037
25285,M,2,Red,6,L,R,0,0.587461428,0.131007056,-2.032504096,0.073293285,-2.613286286
25287,F,14,Blue,6,L,R,1,0.625698344,0.074649217,-2.59495525,0.054751645,-2.904947866
25288,M,6,Green,3,R,R,0,0.483630606,0.066615023,-2.70882516,0.045519784,-3.08960824
